0,1,2,3,4,5,6,7,8,9,10
canned beer,bottled water,long life bakery product,,,,,,,,
whole milk,margarine,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
detergent,ice cream,hamburger meat,soda,sugar,,,,,,
salty snack,other vegetables,yogurt,other vegetables,,,,,,,
whole milk,soda,whipped/sour cream,dessert,,,,,,,
root vegetables,frozen meals,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
tropical fruit,grapes,chocolate marshmallow,yogurt,red/blush wine,brown bread,,,,,
sausage,pork,,,,,,,,,
bottled water,flour,,,,,,,,,
root vegetables,margarine,bottled water,,,,,,,,
yogurt,bottled beer,,,,,,,,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
butter,chocolate,,,,,,,,,
pastry,pet care,margarine,,,,,,,,
sugar,soda,,,,,,,,,
citrus fruit,brown bread,ketchup,,,,,,,,
frozen vegetables,salty snack,,,,,,,,,
dessert,brown bread,,,,,,,,,
mayonnaise,domestic eggs,,,,,,,,,
frankfurter,other vegetables,sugar,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
newspapers,beverages,beef,chocolate,kitchen towels,,,,,,
ham,female sanitary products,,,,,,,,,
sweet spreads,frozen fish,,,,,,,,,
rolls/buns,oil,yogurt,,,,,,,,
semi-finished bread,other vegetables,,,,,,,,,
frankfurter,whole milk,margarine,,,,,,,,
tropical fruit,waffles,,,,,,,,,
sausage,pet care,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
bottled beer,soups,detergent,,,,,,,,
beverages,other vegetables,,,,,,,,,
frankfurter,yogurt,cat food,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
ham,pastry,,,,,,,,,
dessert,cream cheese ,waffles,,,,,,,,
soda,semi-finished bread,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
tropical fruit,frozen dessert,,,,,,,,,
rolls/buns,soda,,,,,,,,,
finished products,other vegetables,misc. beverages,coffee,rolls/buns,,,,,,
root vegetables,pastry,,,,,,,,,
yogurt,coffee,,,,,,,,,
meat,processed cheese,root vegetables,cat food,,,,,,,
newspapers,whipped/sour cream,bottled water,curd cheese,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
other vegetables,tropical fruit,white bread,specialty chocolate,pot plants,shopping bags,,,,,
citrus fruit,other vegetables,,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
beef,other vegetables,,,,,,,,,
whole milk,berries,,,,,,,,,
canned vegetables,popcorn,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
beef,herbs,,,,,,,,,
butter,frankfurter,root vegetables,butter milk,vinegar,,,,,,
meat spreads,shopping bags,,,,,,,,,
yogurt,butter,,,,,,,,,
whole milk,cake bar,,,,,,,,,
sausage,whole milk,,,,,,,,,
coffee,tidbits,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
beverages,oil,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
ham,red/blush wine,,,,,,,,,
root vegetables,curd,,,,,,,,,
sausage,other vegetables,,,,,,,,,
long life bakery product,butter,,,,,,,,,
pork,other vegetables,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
meat,citrus fruit,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
whole milk,sausage,pet care,yogurt,,,,,,,
frozen fish,beef,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
newspapers,whole milk,chewing gum,,,,,,,,
ham,rolls/buns,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
citrus fruit,soda,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
frozen fish,curd,,,,,,,,,
whole milk,pork,,,,,,,,,
beverages,butter milk,,,,,,,,,
root vegetables,butter,,,,,,,,,
spread cheese,rolls/buns,,,,,,,,,
frozen meals,newspapers,,,,,,,,,
dessert,other vegetables,,,,,,,,,
canned beer,grapes,bottled beer,yogurt,,,,,,,
whole milk,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
beef,curd,,,,,,,,,
tropical fruit,rolls/buns,candy,,,,,,,,
soda,other vegetables,,,,,,,,,
liquor (appetizer),liquor,,,,,,,,,
brown bread,grapes,bottled water,soda,,,,,,,
other vegetables,salt,other vegetables,,,,,,,,
UHT-milk,pip fruit,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
bottled water,soups,newspapers,root vegetables,shopping bags,,,,,,
tropical fruit,root vegetables,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
beef,root vegetables,,,,,,,,,
fish,whole milk,,,,,,,,,
beverages,canned fish,,,,,,,,,
bottled water,detergent,domestic eggs,yogurt,,,,,,,
pip fruit,cookware,rolls/buns,whole milk,,,,,,,
salty snack,whole milk,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
yogurt,other vegetables,fruit/vegetable juice,,,,,,,,
pastry,whole milk,,,,,,,,,
whole milk,frankfurter,domestic eggs,flour,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
ice cream,specialty chocolate,,,,,,,,,
margarine,frozen meals,dish cleaner,yogurt,,,,,,,
whole milk,waffles,,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
waffles,sparkling wine,,,,,,,,,
frankfurter,whole milk,canned fish,yogurt,,,,,,,
meat,citrus fruit,pip fruit,other vegetables,,,,,,,
other vegetables,specialty chocolate,newspapers,,,,,,,,
cat food,rolls/buns,,,,,,,,,
frankfurter,root vegetables,pastry,napkins,long life bakery product,,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
beef,frozen vegetables,coffee,,,,,,,,
specialty bar,margarine,,,,,,,,,
liquor,margarine,,,,,,,,,
napkins,dessert,,,,,,,,,
oil,yogurt,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
pasta,flower (seeds),,,,,,,,,
pastry,domestic eggs,dish cleaner,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,sausage,yogurt,pip fruit,curd,,,,,,
sausage,pastry,bottled beer,UHT-milk,,,,,,,
other vegetables,pork,newspapers,,,,,,,,
berries,sausage,tropical fruit,butter,,,,,,,
ham,tropical fruit,popcorn,,,,,,,,
hard cheese,yogurt,,,,,,,,,
frozen vegetables,brown bread,,,,,,,,,
yogurt,salt,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
pastry,pork,,,,,,,,,
root vegetables,soda,,,,,,,,,
bottled beer,white bread,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
bottled water,napkins,fruit/vegetable juice,hard cheese,,,,,,,
citrus fruit,ham,red/blush wine,rolls/buns,specialty chocolate,,,,,,
newspapers,salty snack,pastry,,,,,,,,
yogurt,rolls/buns,domestic eggs,fruit/vegetable juice,,,,,,,
coffee,cat food,,,,,,,,,
sausage,specialty bar,,,,,,,,,
soda,frozen meals,,,,,,,,,
finished products,whole milk,,,,,,,,,
onions,soda,,,,,,,,,
yogurt,domestic eggs,frozen vegetables,fruit/vegetable juice,,,,,,,
curd,whipped/sour cream,,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
chicken,root vegetables,,,,,,,,,
margarine,pickled vegetables,,,,,,,,,
root vegetables,frozen vegetables,rolls/buns,,,,,,,,
bottled water,brown bread,,,,,,,,,
whole milk,brown bread,,,,,,,,,
meat,waffles,,,,,,,,,
semi-finished bread,tropical fruit,,,,,,,,,
other vegetables,cat food,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
whole milk,white wine,,,,,,,,,
citrus fruit,other vegetables,frozen vegetables,waffles,,,,,,,
beef,pastry,,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
yogurt,cookware,,,,,,,,,
whole milk,whipped/sour cream,frozen vegetables,,,,,,,,
chicken,bottled water,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
ham,mayonnaise,,,,,,,,,
frozen meals,abrasive cleaner,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
pip fruit,rolls/buns,specialty chocolate,,,,,,,,
beef,processed cheese,,,,,,,,,
